Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Surface reelle bati,Nombre pieces principales,Surface terrain,1er lot,2eme lot,3eme lot,4eme lot,5eme lot,Type local,Adresse,Voie_Complete,Nature culture,Surface Carrez du 1er lot,Surface Carrez du 2eme lot,Surface Carrez du 3eme lot,Surface Carrez du 4eme lot,Surface Carrez du 5eme lot
10-01-2019,Vente,390000,1000.0,BOURG-EN-BRESSE,46.0,2.0,1060.0,,,,,,Appartement,36,AV DE LYON,S,,,,,
10-01-2019,Vente,390000,1000.0,BOURG-EN-BRESSE,126.0,6.0,1060.0,,,,,,Appartement,36,AV DE LYON,S,,,,,
10-01-2019,Vente,390000,1000.0,BOURG-EN-BRESSE,0.0,0.0,1060.0,,,,,,Dependance,36,AV DE LYON,S,,,,,
17-01-2019,Vente,108000,1000.0,BOURG-EN-BRESSE,0.0,0.0,0.0,61.0,,,,,Dependance,6,RUE DE L EST,,,,,,
17-01-2019,Vente,108000,1000.0,BOURG-EN-BRESSE,43.0,2.0,0.0,16.0,28.0,,,,Appartement,6,RUE DE L EST,,,,,,
04-01-2019,Vente,214500,1000.0,BOURG-EN-BRESSE,108.0,5.0,342.0,,,,,,Maison,116,ALL DES GLANEUSES,S,,,,,
04-01-2019,Vente,135000,1290.0,CRUZILLES-LES-MEPILLAT,0.0,,3310.0,,,,,,, , EN LAGNAT,T,,,,,
04-01-2019,Vente,135000,1290.0,CRUZILLES-LES-MEPILLAT,48.0,2.0,935.0,,,,,,Maison,37, LES CHAMBARDS OUEST,S,,,,,
"07-01-2019,Vente,""228,5"",1190.0,SERMOYER,0.0,,3264.0,,,,,,, , PRES BOILLET,P,,,,,"
"18-01-2019,Vente,""258,3"",1190.0,SERMOYER,0.0,,2870.0,,,,,,, , PRES COMTE,P,,,,,"
